"veiculo","tipo","hora_coleta","lat","lon"
"4dbd4c99-0000-0000-0000-000000095dd8","Car","2014-10-10 08:06:40 UTC",-23.5364939,-46.8358219
"4dbd4c99-0000-0000-0000-000000095afd","Car","2014-10-07 14:14:49 UTC",-23.6220717,-46.6924875
"4dbd4c99-0000-0000-0000-000000074105","Car","2014-10-09 22:23:17 UTC",-23.5009868,-46.6244645
"4dbd4c99-0000-0000-0000-0000000948e4","Car","2014-10-07 00:20:17 UTC",-23.5034243,-46.6331016
"4dbd4c99-0000-0000-0000-000000094a45","Car","2014-10-07 08:34:26 UTC",-23.5033639,-46.6339151
"4dbd4c99-0000-0000-0000-000000080d02","Car","2014-10-08 16:03:34 UTC",-23.7541545,-46.7017785
"4dbd4c99-0000-0000-0000-0000000795dd","Car","2014-10-10 11:24:36 UTC",-23.5507177,-46.7757052
"4dbd4c99-0000-0000-0000-000000095650","Car","2014-10-07 17:20:49 UTC",-23.5653147,-46.7127126
"4dbd4c99-0000-0000-0000-00000006e4e9","Car","2014-10-06 19:54:52 UTC",-23.5822914,-46.6649463
"4dbd4c99-0000-0000-0000-00000008c99a","Car","2014-10-09 15:55:09 UTC",-23.4236549,-46.4373962
"4dbd4c99-0000-0000-0000-000000080c25","Car","2014-10-08 17:50:02 UTC",-23.4547707,-46.4916602
"4dbd4c99-0000-0000-0000-000000094ded","Car","2014-10-08 07:04:29 UTC",-23.5404435,-46.5611129
"4dbd4c99-0000-0000-0000-00000006d8f5","Car","2014-10-09 14:55:24 UTC",-23.5826821,-46.6807258
"4dbd4c99-0000-0000-0000-000000095c78","Car","2014-10-08 03:57:17 UTC",-23.6067796,-46.5164639
"4dbd4c99-0000-0000-0000-00000005b9d9","Car","2014-10-08 13:42:01 UTC",-23.5480592,-46.6112928
"4dbd4c99-0000-0000-0000-00000007aa41","Car","2014-10-10 13:31:23 UTC",-23.6238672,-46.9274158
"4dbd4c99-0000-0000-0000-000000071f09","Car","2014-10-06 19:50:48 UTC",-23.5551861,-46.6272788
"4dbd4c99-0000-0000-0000-000000095875","Car","2014-10-08 14:36:44 UTC",-23.5438331,-46.5299106
"4dbd4c99-0000-0000-0000-000000087b8d","Car","2014-10-10 12:14:11 UTC",-23.606797,-46.7251802
"4dbd4c99-0000-0000-0000-00000008d6fc","Car","2014-10-09 19:36:08 UTC",-23.4953206,-46.4559283
"4dbd4c99-0000-0000-0000-00000005ae49","Car","2014-10-07 18:11:22 UTC",-23.6159344,-46.6086218
"4dbd4c99-0000-0000-0000-00000007e20a","Car","2014-10-06 22:06:15 UTC",-23.5919831,-46.6820723
